N,passt,voxel,plana,clust,cylin,total
122,0.072,0.182,0.036,0.023,0.056,0.540
123,0.083,0.184,0.036,0.026,0.042,0.559
124,0.072,0.183,0.036,0.018,0.042,0.522
125,0.082,0.184,0.036,0.006,0.035,0.531
126,0.073,0.183,0.036,0.004,0.035,0.500
127,0.082,0.186,0.031,0.001,0.000,0.487
128,0.074,0.186,0.030,0.001,0.000,0.466
129,0.086,0.184,0.036,0.011,0.063,0.585
130,0.072,0.183,0.036,0.011,0.042,0.514
131,0.082,0.184,0.036,0.005,0.037,0.531
132,0.096,0.188,0.031,0.001,0.031,0.520
133,0.081,0.184,0.031,0.001,0.000,0.484
134,0.071,0.182,0.041,0.052,0.054,0.571
135,0.081,0.182,0.036,0.037,0.056,0.580
136,0.073,0.184,0.036,0.037,0.059,0.562
137,0.082,0.182,0.036,0.040,0.069,0.599
138,0.073,0.189,0.036,0.032,0.084,0.585
139,0.081,0.186,0.036,0.028,0.055,0.575
140,0.072,0.182,0.036,0.019,0.040,0.522
141,0.082,0.185,0.036,0.020,0.041,0.553
142,0.073,0.184,0.036,0.016,0.048,0.528
143,0.081,0.191,0.038,0.017,0.070,0.585
144,0.072,0.183,0.036,0.011,0.059,0.531
145,0.088,0.186,0.036,0.010,0.058,0.564
146,0.072,0.187,0.036,0.005,0.046,0.518
147,0.082,0.184,0.036,0.005,0.044,0.537
148,0.072,0.182,0.036,0.005,0.040,0.506
149,0.082,0.185,0.031,0.001,0.030,0.520
150,0.072,0.187,0.031,0.000,0.000,0.461
151,0.081,0.177,0.051,0.100,0.059,0.654
152,0.072,0.176,0.068,0.113,0.060,0.662
153,0.080,0.177,0.050,0.083,0.054,0.632
154,0.071,0.175,0.068,0.160,0.097,0.743
0,0.086,0.184,0.049,0.118,0.045,0.670
1,0.079,0.179,0.054,0.113,0.047,0.659
2,0.082,0.182,0.049,0.102,0.042,0.645
3,0.078,0.182,0.064,0.138,0.042,0.692
4,0.082,0.181,0.049,0.106,0.124,0.729
5,0.080,0.185,0.049,0.099,0.094,0.694
6,0.082,0.183,0.059,0.119,0.035,0.665
7,0.080,0.184,0.061,0.081,0.036,0.629
8,0.081,0.183,0.050,0.094,0.033,0.630
9,0.078,0.180,0.059,0.126,0.057,0.687
10,0.085,0.184,0.045,0.084,0.043,0.630
11,0.073,0.188,0.054,0.086,0.037,0.627
12,0.082,0.180,0.050,0.079,0.035,0.623
13,0.074,0.188,0.045,0.076,0.033,0.606
14,0.080,0.181,0.055,0.104,0.115,0.724
15,0.074,0.187,0.055,0.078,0.041,0.624
16,0.084,0.187,0.057,0.232,0.069,0.816
17,0.081,0.186,0.052,0.166,0.583,1.256
18,0.083,0.186,0.057,0.183,0.066,0.764
19,0.081,0.187,0.051,0.171,0.055,0.732
20,0.083,0.187,0.051,0.154,0.049,0.712
21,0.081,0.191,0.042,0.101,0.156,0.759
22,0.084,0.187,0.057,0.134,0.050,0.713
23,0.082,0.191,0.047,0.104,0.046,0.660
24,0.085,0.190,0.047,0.110,0.054,0.675
25,0.081,0.188,0.042,0.066,0.038,0.601
26,0.085,0.195,0.053,0.108,0.077,0.707
27,0.082,0.190,0.053,0.100,0.064,0.676
28,0.085,0.192,0.048,0.061,0.068,0.643
29,0.085,0.197,0.044,0.082,0.051,0.646
30,0.084,0.193,0.043,0.081,0.692,1.279
31,0.087,0.196,0.048,0.072,0.840,1.439
32,0.086,0.202,0.049,0.051,0.041,0.617
33,0.083,0.197,0.048,0.073,0.037,0.626
34,0.085,0.197,0.043,0.052,0.393,0.958
35,0.083,0.197,0.048,0.102,0.052,0.672
36,0.086,0.196,0.054,0.101,0.057,0.683
37,0.085,0.198,0.049,0.091,0.060,0.670
38,0.084,0.196,0.048,0.091,0.045,0.651
39,0.083,0.199,0.054,0.101,0.041,0.668
40,0.085,0.196,0.054,0.100,0.040,0.661
41,0.082,0.196,0.048,0.099,0.040,0.655
42,0.085,0.195,0.054,0.100,0.039,0.660
43,0.082,0.195,0.054,0.066,0.056,0.642
44,0.086,0.201,0.050,0.075,1.256,1.859
45,0.082,0.198,0.039,0.021,0.057,0.584
46,0.085,0.199,0.039,0.016,0.061,0.588
47,0.083,0.198,0.039,0.014,0.060,0.582
48,0.086,0.199,0.039,0.013,0.052,0.577
49,0.084,0.202,0.039,0.010,0.055,0.581
50,0.085,0.201,0.039,0.006,0.054,0.573
51,0.083,0.199,0.039,0.006,0.056,0.572
52,0.085,0.200,0.039,0.007,0.040,0.561
53,0.084,0.210,0.040,0.007,0.042,0.572
54,0.085,0.200,0.039,0.007,0.035,0.554
55,0.083,0.201,0.039,0.008,0.042,0.561
56,0.085,0.200,0.034,0.002,0.000,0.508
0,0.084,0.194,0.050,0.194,0.083,0.792
1,0.082,0.192,0.050,0.205,0.077,0.790
2,0.083,0.199,0.056,0.215,0.096,0.835
3,0.074,0.190,0.050,0.199,0.068,0.770
4,0.085,0.190,0.050,0.216,0.093,0.821
5,0.074,0.195,0.050,0.199,0.076,0.784
6,0.083,0.190,0.050,0.205,0.082,0.797
0,0.090,0.194,0.074,0.311,0.097,0.955
1,0.083,0.192,0.050,0.253,0.062,0.827
2,0.083,0.193,0.050,0.232,0.090,0.837
3,0.087,0.196,0.050,0.194,0.062,0.782
4,0.082,0.205,0.050,0.154,0.096,0.778
5,0.074,0.192,0.050,0.144,0.114,0.761
6,0.081,0.184,0.048,0.146,0.081,0.729
7,0.073,0.187,0.042,0.130,0.156,0.777
8,0.082,0.189,0.043,0.104,0.080,0.685
9,0.072,0.187,0.042,0.087,0.115,0.691
10,0.082,0.188,0.042,0.066,0.060,0.625
11,0.072,0.188,0.042,0.057,0.057,0.610
12,0.085,0.189,0.042,0.046,0.053,0.601
13,0.084,0.189,0.043,0.042,0.096,0.640
14,0.085,0.197,0.037,0.038,0.053,0.598
15,0.084,0.190,0.037,0.040,0.056,0.594
16,0.088,0.190,0.037,0.030,0.042,0.574
17,0.096,0.190,0.037,0.025,0.135,0.673
18,0.085,0.191,0.043,0.018,0.039,0.565
19,0.084,0.191,0.037,0.012,0.043,0.553
20,0.083,0.190,0.037,0.007,0.045,0.566
21,0.086,0.191,0.037,0.007,0.042,0.552
22,0.092,0.180,0.057,0.451,0.108,1.076
23,0.071,0.178,0.059,0.421,0.127,1.043
24,0.081,0.181,0.057,0.446,0.112,1.069
25,0.072,0.183,0.057,0.400,0.141,1.040
26,0.080,0.180,0.063,0.484,0.225,1.221
27,0.072,0.180,0.052,0.348,0.110,0.948
28,0.081,0.184,0.058,0.343,0.069,0.921
29,0.072,0.183,0.058,0.322,0.061,0.883
30,0.081,0.183,0.058,0.355,0.058,0.923
31,0.073,0.183,0.053,0.264,0.047,0.809
32,0.083,0.184,0.053,0.299,0.087,0.893
33,0.072,0.183,0.052,0.315,0.071,0.880
34,0.081,0.185,0.047,0.262,0.079,0.842
35,0.072,0.184,0.053,0.303,0.089,0.886
36,0.082,0.188,0.055,0.267,0.074,0.853
37,0.072,0.184,0.047,0.236,0.179,0.904
38,0.084,0.189,0.052,0.181,0.058,0.753
39,0.072,0.183,0.047,0.158,0.077,0.724
40,0.083,0.187,0.042,0.137,0.055,0.691
41,0.072,0.186,0.042,0.120,0.054,0.660
42,0.082,0.189,0.042,0.113,0.052,0.667
43,0.071,0.185,0.042,0.102,0.053,0.640
44,0.083,0.188,0.042,0.093,0.051,0.643
45,0.072,0.187,0.042,0.086,0.052,0.626
46,0.082,0.187,0.042,0.082,0.056,0.637
47,0.072,0.186,0.042,0.076,0.047,0.610
48,0.085,0.192,0.044,0.103,0.049,0.660
49,0.080,0.198,0.043,0.078,0.085,0.670
50,0.091,0.188,0.042,0.073,0.068,0.652
51,0.075,0.200,0.060,0.106,0.229,0.859
52,0.083,0.186,0.048,0.156,0.078,0.741
53,0.072,0.185,0.047,0.110,0.059,0.660
54,0.081,0.185,0.042,0.102,0.062,0.659
55,0.072,0.187,0.048,0.087,0.057,0.638
56,0.082,0.185,0.042,0.083,0.056,0.636
57,0.072,0.186,0.042,0.060,0.044,0.592
58,0.082,0.188,0.042,0.054,0.043,0.596
59,0.075,0.188,0.037,0.048,0.041,0.576
60,0.085,0.189,0.037,0.034,0.049,0.581
61,0.100,0.191,0.037,0.027,0.045,0.593
62,0.084,0.190,0.037,0.023,0.039,0.561
63,0.085,0.193,0.038,0.017,0.043,0.564
64,0.087,0.197,0.037,0.010,0.038,0.558
65,0.084,0.192,0.043,0.006,0.035,0.548
66,0.083,0.192,0.048,0.003,0.044,0.558
67,0.083,0.191,0.037,0.004,0.031,0.534
68,0.085,0.192,0.037,0.002,0.000,0.503
0,0.084,0.188,0.058,0.508,0.088,1.115
1,0.068,0.183,0.058,0.449,0.090,1.034
2,0.077,0.187,0.053,0.395,0.078,0.977
3,0.084,0.187,0.059,0.291,0.334,1.145
4,0.084,0.187,0.059,0.326,0.108,0.953
5,0.084,0.187,0.054,0.341,0.242,1.095
6,0.082,0.190,0.054,0.321,0.052,0.887
7,0.081,0.185,0.054,0.268,0.098,0.872
8,0.073,0.188,0.053,0.237,0.110,0.848
9,0.084,0.187,0.048,0.253,0.076,0.835
10,0.077,0.190,0.048,0.210,0.068,0.780
11,0.084,0.187,0.042,0.185,0.045,0.730
12,0.083,0.189,0.048,0.185,0.086,0.777
13,0.082,0.185,0.042,0.132,0.083,0.712
14,0.076,0.192,0.042,0.100,0.103,0.725
15,0.083,0.191,0.043,0.105,0.052,0.661
16,0.082,0.189,0.043,0.116,0.052,0.669
17,0.084,0.189,0.042,0.099,0.056,0.657
18,0.084,0.190,0.042,0.109,0.060,0.674
19,0.082,0.189,0.042,0.091,0.053,0.647
20,0.074,0.190,0.043,0.080,0.057,0.632
21,0.085,0.191,0.043,0.060,0.051,0.617
22,0.084,0.191,0.042,0.053,0.042,0.599
