N,passt,voxel,plana,clust,cylin,total
130,0.084,0.190,0.037,0.012,0.043,0.540
131,0.086,0.192,0.037,0.015,0.038,0.557
132,0.084,0.190,0.037,0.012,0.033,0.531
133,0.085,0.193,0.037,0.007,0.036,0.556
134,0.085,0.191,0.038,0.005,0.039,0.533
135,0.084,0.192,0.032,0.002,0.032,0.528
136,0.084,0.194,0.033,0.001,0.000,0.486
137,0.084,0.192,0.032,0.002,0.033,0.532
138,0.086,0.193,0.032,0.001,0.000,0.490
0,0.084,0.192,0.055,0.296,0.078,0.894
1,0.083,0.189,0.055,0.285,0.089,0.888
2,0.089,0.192,0.055,0.310,0.092,0.925
0,0.084,0.196,0.055,0.281,0.089,0.892
1,0.083,0.190,0.055,0.242,0.125,0.883
2,0.084,0.191,0.049,0.228,0.162,0.901
3,0.084,0.190,0.043,0.099,0.064,0.668
4,0.086,0.193,0.043,0.112,0.081,0.702
5,0.087,0.192,0.043,0.073,0.113,0.694
6,0.088,0.201,0.044,0.055,0.051,0.638
7,0.085,0.194,0.043,0.069,0.069,0.650
8,0.085,0.192,0.038,0.051,0.054,0.606
9,0.084,0.191,0.043,0.043,0.055,0.603
10,0.085,0.192,0.038,0.044,0.046,0.591
11,0.093,0.192,0.038,0.044,0.046,0.613
12,0.084,0.193,0.037,0.035,0.053,0.591
13,0.086,0.195,0.043,0.029,0.047,0.588
14,0.085,0.192,0.037,0.019,0.055,0.576
15,0.085,0.194,0.037,0.015,0.037,0.555
16,0.085,0.194,0.038,0.015,0.041,0.560
17,0.084,0.194,0.038,0.008,0.037,0.548
18,0.086,0.194,0.038,0.005,0.040,0.549
19,0.086,0.194,0.037,0.003,0.033,0.546
20,0.085,0.195,0.037,0.002,0.041,0.548
21,0.085,0.193,0.041,0.015,0.064,0.585
22,0.087,0.194,0.032,0.003,0.068,0.571
23,0.084,0.191,0.032,0.000,0.000,0.495
24,0.085,0.192,0.043,0.032,0.070,0.609
25,0.085,0.192,0.038,0.019,0.043,0.564
26,0.087,0.192,0.037,0.010,0.055,0.570
27,0.085,0.194,0.032,0.003,0.034,0.538
28,0.086,0.193,0.032,0.000,0.000,0.499
29,0.082,0.187,0.054,0.288,0.111,0.909
30,0.082,0.187,0.048,0.210,0.082,0.796
31,0.072,0.197,0.049,0.186,0.058,0.751
32,0.082,0.187,0.048,0.149,0.098,0.752
33,0.073,0.189,0.053,0.153,0.067,0.722
34,0.082,0.189,0.048,0.135,0.044,0.685
35,0.072,0.190,0.043,0.117,0.049,0.659
36,0.085,0.191,0.043,0.109,0.042,0.659
37,0.082,0.189,0.043,0.109,0.056,0.666
38,0.085,0.192,0.043,0.096,0.058,0.664
39,0.085,0.193,0.044,0.081,0.047,0.640
40,0.086,0.190,0.043,0.061,0.042,0.610
41,0.084,0.191,0.043,0.052,0.038,0.595
42,0.085,0.192,0.038,0.045,0.042,0.591
43,0.085,0.191,0.043,0.047,0.068,0.621
44,0.085,0.191,0.037,0.027,0.039,0.565
45,0.085,0.193,0.037,0.016,0.041,0.559
46,0.084,0.191,0.037,0.013,0.039,0.551
47,0.084,0.193,0.038,0.008,0.038,0.547
48,0.085,0.195,0.037,0.005,0.041,0.549
49,0.084,0.193,0.037,0.002,0.031,0.537
50,0.085,0.191,0.032,0.000,0.000,0.495
51,0.083,0.191,0.038,0.027,0.077,0.620
52,0.084,0.192,0.038,0.011,0.063,0.576
53,0.086,0.195,0.037,0.007,0.053,0.571
54,0.085,0.193,0.037,0.003,0.051,0.556
55,0.085,0.191,0.032,0.004,0.043,0.543
56,0.084,0.193,0.032,0.000,0.000,0.496
57,0.084,0.189,0.049,0.154,0.103,0.767
58,0.082,0.188,0.049,0.132,0.063,0.702
59,0.072,0.188,0.049,0.135,0.069,0.702
60,0.082,0.190,0.049,0.132,0.058,0.698
61,0.072,0.189,0.049,0.142,0.067,0.706
62,0.082,0.189,0.043,0.133,0.069,0.703
63,0.073,0.189,0.055,0.131,0.064,0.699
64,0.082,0.189,0.043,0.117,0.080,0.697
65,0.074,0.198,0.051,0.136,0.069,0.715
66,0.084,0.193,0.044,0.108,0.066,0.681
67,0.076,0.192,0.043,0.082,0.073,0.655
68,0.084,0.190,0.043,0.075,0.062,0.642
69,0.087,0.198,0.043,0.052,0.085,0.653
70,0.086,0.194,0.038,0.040,0.042,0.588
71,0.085,0.190,0.037,0.027,0.046,0.573
72,0.085,0.197,0.038,0.007,0.041,0.554
73,0.085,0.191,0.038,0.002,0.034,0.537
74,0.084,0.206,0.032,0.000,0.000,0.520
75,0.084,0.189,0.049,0.144,0.072,0.727
76,0.085,0.192,0.043,0.106,0.072,0.685
77,0.085,0.189,0.049,0.087,0.047,0.644
78,0.087,0.190,0.043,0.074,0.040,0.636
79,0.086,0.194,0.043,0.072,0.042,0.625
80,0.086,0.189,0.043,0.073,0.037,0.615
81,0.085,0.193,0.043,0.056,0.039,0.602
82,0.085,0.192,0.043,0.058,0.039,0.602
83,0.084,0.192,0.043,0.064,0.060,0.632
84,0.085,0.194,0.043,0.041,0.037,0.590
85,0.085,0.194,0.038,0.029,0.041,0.574
86,0.085,0.194,0.038,0.025,0.093,0.622
87,0.085,0.196,0.038,0.024,0.100,0.635
88,0.086,0.198,0.044,0.049,0.061,0.625
89,0.084,0.191,0.043,0.036,0.044,0.585
90,0.085,0.195,0.038,0.025,0.052,0.582
91,0.085,0.194,0.038,0.031,0.370,0.905
92,0.085,0.192,0.038,0.020,0.056,0.578
93,0.088,0.198,0.038,0.010,0.049,0.581
94,0.087,0.196,0.037,0.011,0.045,0.565
95,0.084,0.221,0.037,0.014,0.061,0.605
96,0.084,0.193,0.037,0.004,0.043,0.549
97,0.085,0.195,0.032,0.000,0.000,0.499
0,0.085,0.196,0.038,0.000,0.000,0.506
1,0.082,0.194,0.038,0.010,0.063,0.574
2,0.086,0.193,0.038,0.011,0.068,0.583
3,0.084,0.191,0.043,0.050,0.075,0.630
0,0.087,0.198,0.044,0.048,0.100,0.665
1,0.083,0.202,0.043,0.049,0.064,0.628
0,0.085,0.197,0.044,0.054,0.069,0.637
1,0.083,0.192,0.043,0.050,0.080,0.635
0,0.084,0.194,0.043,0.053,0.062,0.626
1,0.083,0.191,0.043,0.050,0.087,0.641
0,0.083,0.194,0.043,0.050,0.074,0.631
1,0.083,0.195,0.043,0.052,0.067,0.626
0,0.084,0.193,0.038,0.035,0.070,0.607
1,0.084,0.195,0.038,0.034,0.066,0.604
0,0.091,0.196,0.038,0.032,0.066,0.614
1,0.083,0.194,0.038,0.034,0.075,0.612
2,0.085,0.193,0.037,0.031,0.068,0.602
3,0.089,0.201,0.039,0.033,0.064,0.620
4,0.087,0.193,0.038,0.032,0.068,0.609
5,0.085,0.209,0.038,0.035,0.066,0.618
6,0.086,0.194,0.038,0.036,0.063,0.607
7,0.085,0.196,0.038,0.032,0.062,0.608
0,0.085,0.193,0.043,0.035,0.064,0.607
1,0.083,0.205,0.038,0.032,0.069,0.615
2,0.084,0.192,0.038,0.030,0.062,0.593
3,0.084,0.194,0.038,0.033,0.064,0.604
4,0.095,0.194,0.038,0.034,0.070,0.624
5,0.085,0.197,0.038,0.031,0.066,0.604
6,0.086,0.197,0.038,0.032,0.065,0.604
7,0.096,0.205,0.038,0.035,0.073,0.633
8,0.084,0.195,0.038,0.035,0.070,0.608
9,0.084,0.193,0.038,0.033,0.064,0.598
10,0.083,0.195,0.044,0.035,0.067,0.611
11,0.085,0.194,0.038,0.032,0.060,0.597
12,0.086,0.194,0.043,0.034,0.065,0.610
13,0.084,0.192,0.043,0.033,0.071,0.617
14,0.085,0.191,0.038,0.033,0.063,0.597
15,0.083,0.193,0.038,0.035,0.069,0.605
16,0.085,0.193,0.038,0.034,0.062,0.598
17,0.084,0.197,0.038,0.034,0.065,0.603
18,0.085,0.193,0.038,0.032,0.067,0.601
19,0.085,0.191,0.043,0.033,0.065,0.606
20,0.083,0.191,0.038,0.031,0.064,0.593
21,0.084,0.191,0.038,0.033,0.073,0.606
22,0.085,0.191,0.038,0.032,0.073,0.604
23,0.085,0.202,0.043,0.032,0.065,0.616
24,0.084,0.204,0.038,0.032,0.063,0.608
25,0.084,0.204,0.038,0.034,0.068,0.615
26,0.084,0.201,0.038,0.034,0.070,0.614
27,0.084,0.191,0.038,0.032,0.064,0.597
28,0.083,0.191,0.038,0.033,0.066,0.597
29,0.084,0.190,0.037,0.033,0.070,0.600
30,0.085,0.200,0.038,0.032,0.066,0.609
31,0.084,0.190,0.038,0.032,0.068,0.598
32,0.085,0.193,0.038,0.031,0.065,0.602
33,0.084,0.192,0.038,0.033,0.064,0.600
34,0.085,0.196,0.038,0.032,0.070,0.612
35,0.085,0.195,0.038,0.033,0.063,0.601
36,0.084,0.191,0.038,0.035,0.068,0.601
37,0.085,0.193,0.037,0.033,0.066,0.602
38,0.083,0.193,0.038,0.033,0.067,0.601
39,0.083,0.191,0.038,0.031,0.068,0.600
40,0.084,0.194,0.038,0.032,0.064,0.601
41,0.086,0.197,0.038,0.031,0.069,0.609
42,0.085,0.191,0.038,0.032,0.068,0.601
43,0.085,0.192,0.038,0.032,0.066,0.600
44,0.087,0.192,0.038,0.034,0.062,0.604
45,0.084,0.191,0.038,0.033,0.067,0.600
46,0.086,0.193,0.038,0.033,0.066,0.604
0,0.087,0.198,0.038,0.033,0.063,0.613
1,0.083,0.192,0.038,0.032,0.062,0.593
2,0.096,0.204,0.038,0.032,0.071,0.628
3,0.085,0.192,0.038,0.032,0.070,0.631
4,0.085,0.193,0.038,0.032,0.069,0.603
5,0.084,0.191,0.038,0.032,0.064,0.596
6,0.083,0.192,0.038,0.032,0.068,0.602
7,0.085,0.193,0.038,0.032,0.074,0.609
8,0.083,0.191,0.038,0.033,0.065,0.622
9,0.084,0.194,0.039,0.035,0.072,0.611
10,0.083,0.192,0.038,0.032,0.072,0.603
11,0.084,0.198,0.038,0.034,0.071,0.611
12,0.084,0.196,0.038,0.038,0.076,0.618
13,0.085,0.204,0.039,0.041,0.073,0.630
14,0.083,0.195,0.038,0.033,0.065,0.608
15,0.085,0.196,0.043,0.032,0.069,0.614
16,0.085,0.191,0.038,0.034,0.066,0.601
17,0.085,0.204,0.038,0.034,0.066,0.613
18,0.085,0.209,0.040,0.039,0.061,0.622
19,0.087,0.197,0.038,0.034,0.064,0.616
20,0.086,0.194,0.043,0.032,0.063,0.606
21,0.085,0.191,0.038,0.032,0.067,0.598
22,0.083,0.198,0.038,0.033,0.064,0.603
23,0.085,0.193,0.038,0.032,0.066,0.604
0,0.085,0.194,0.038,0.004,0.038,0.548
1,0.088,0.205,0.039,0.005,0.044,0.585
2,0.085,0.194,0.038,0.004,0.039,0.535
0,0.083,0.189,0.042,0.039,0.070,0.612
1,0.083,0.187,0.037,0.032,0.043,0.569
2,0.085,0.189,0.037,0.024,0.046,0.569
3,0.084,0.188,0.037,0.018,0.045,0.561
4,0.085,0.191,0.037,0.014,0.041,0.558
5,0.087,0.191,0.037,0.013,0.040,0.556
6,0.086,0.192,0.038,0.007,0.054,0.565
7,0.085,0.190,0.037,0.003,0.057,0.560
8,0.085,0.191,0.037,0.004,0.040,0.545
9,0.085,0.190,0.037,0.003,0.048,0.551
10,0.082,0.199,0.044,0.068,0.087,0.671
11,0.072,0.187,0.042,0.049,0.052,0.590
12,0.073,0.191,0.037,0.037,0.043,0.552
13,0.082,0.186,0.037,0.024,0.067,0.582
0,0.085,0.189,0.037,0.025,0.064,0.588
0,0.087,0.190,0.076,0.372,0.466,1.380
1,0.072,0.181,0.059,0.417,0.085,1.000
2,0.072,0.183,0.058,0.454,0.113,1.067
3,0.085,0.183,0.059,0.389,0.097,1.024
4,0.074,0.182,0.053,0.391,0.132,1.021
5,0.081,0.183,0.058,0.360,0.079,0.949
6,0.074,0.185,0.053,0.302,0.144,0.945
0,0.084,0.188,0.054,0.305,0.122,0.945
1,0.077,0.183,0.053,0.314,0.087,0.902
2,0.082,0.192,0.053,0.267,0.111,0.896
3,0.083,0.183,0.064,0.322,0.080,0.924
4,0.093,0.182,0.054,0.225,0.051,0.800
5,0.082,0.184,0.048,0.283,0.107,0.895
6,0.082,0.182,0.053,0.283,0.180,0.985
7,0.083,0.183,0.053,0.297,0.110,0.917
8,0.083,0.185,0.053,0.284,0.101,0.894
9,0.085,0.187,0.053,0.260,0.075,0.850
10,0.082,0.187,0.048,0.255,0.154,0.917
11,0.083,0.186,0.054,0.258,0.070,0.842
12,0.084,0.186,0.054,0.266,0.076,0.854
13,0.082,0.185,0.054,0.250,0.060,0.820
14,0.073,0.186,0.054,0.232,0.061,0.829
15,0.081,0.182,0.053,0.285,0.068,0.858
16,0.073,0.183,0.053,0.281,0.080,0.859
17,0.081,0.185,0.048,0.255,0.079,0.838
18,0.073,0.184,0.053,0.263,0.466,1.227
19,0.082,0.185,0.048,0.186,0.127,0.818
20,0.073,0.188,0.048,0.220,0.107,0.826
21,0.083,0.199,0.048,0.252,0.095,0.871
22,0.072,0.185,0.048,0.202,0.068,0.763
23,0.084,0.189,0.049,0.223,0.076,0.812
24,0.083,0.187,0.049,0.188,0.119,0.820
25,0.085,0.189,0.048,0.158,0.099,0.766
26,0.082,0.188,0.043,0.146,0.048,0.696
27,0.085,0.190,0.048,0.149,0.059,0.720
28,0.083,0.186,0.048,0.183,0.053,0.742
29,0.083,0.191,0.051,0.188,0.084,0.808
30,0.078,0.187,0.049,0.169,0.076,0.747
31,0.082,0.187,0.048,0.131,0.052,0.688
32,0.073,0.190,0.053,0.317,0.141,0.968
33,0.081,0.185,0.053,0.315,0.092,0.914
34,0.073,0.187,0.053,0.237,0.114,0.854
35,0.095,0.181,0.047,0.218,0.077,0.809
36,0.072,0.183,0.052,0.262,0.090,0.849
37,0.095,0.183,0.053,0.229,0.069,0.816
38,0.072,0.185,0.053,0.195,0.100,0.792
0,0.082,0.187,0.053,0.301,0.079,0.890
1,0.072,0.187,0.059,0.287,0.118,0.910
2,0.083,0.182,0.058,0.253,0.095,0.862
3,0.082,0.185,0.053,0.222,0.070,0.816
4,0.083,0.186,0.053,0.207,0.052,0.771
5,0.081,0.186,0.053,0.207,0.065,0.779
6,0.074,0.185,0.048,0.207,0.067,0.767
7,0.084,0.186,0.059,0.220,0.077,0.813
8,0.082,0.185,0.048,0.195,0.047,0.744
9,0.084,0.189,0.054,0.189,0.048,0.752
10,0.084,0.186,0.048,0.179,0.058,0.743
11,0.084,0.186,0.048,0.175,0.074,0.756
12,0.083,0.186,0.048,0.162,0.048,0.715
13,0.085,0.189,0.049,0.203,0.061,0.776
14,0.084,0.187,0.049,0.169,0.133,0.810
15,0.084,0.188,0.049,0.160,0.162,0.831
16,0.082,0.198,0.051,0.177,0.059,0.754
0,0.093,0.194,0.067,0.173,0.107,0.825
1,0.084,0.195,0.038,0.001,0.031,0.537
2,0.085,0.192,0.035,0.019,0.047,0.564
3,0.086,0.189,0.035,0.011,0.043,0.552
4,0.087,0.190,0.035,0.018,0.050,0.569
5,0.085,0.190,0.035,0.018,0.048,0.563
6,0.085,0.191,0.035,0.019,0.049,0.553
7,0.087,0.190,0.035,0.019,0.054,0.571
8,0.085,0.190,0.035,0.018,0.051,0.554
9,0.085,0.192,0.035,0.032,0.067,0.598
10,0.084,0.188,0.034,0.032,0.076,0.588
11,0.085,0.192,0.035,0.034,0.071,0.604
12,0.084,0.190,0.034,0.032,0.070,0.584
13,0.084,0.190,0.035,0.032,0.065,0.594
14,0.085,0.191,0.034,0.031,0.072,0.588
15,0.085,0.196,0.035,0.034,0.066,0.604
0,0.082,0.126,0.085,0.500,0.097,1.078
0,0.070,0.108,0.140,1.366,0.199,2.071
1,0.070,0.108,0.140,1.295,0.392,2.190
2,0.069,0.108,0.146,1.454,0.324,2.288
3,0.067,0.117,0.091,0.714,0.069,1.246
4,0.072,0.118,0.087,0.669,1.067,2.198
5,0.066,0.118,0.090,1.084,0.127,1.672
6,0.071,0.122,0.067,0.523,0.109,1.078
7,0.068,0.121,0.081,0.623,0.130,1.211
8,0.071,0.121,0.066,0.622,0.102,1.169
9,0.067,0.124,0.070,0.638,0.107,1.196
10,0.072,0.121,0.089,0.597,0.084,1.150
0,0.070,0.107,0.041,0.192,0.135,0.734
0,0.086,0.199,0.045,0.131,0.108,0.759
0,0.071,0.115,0.121,1.101,1.693,3.289
1,0.072,0.130,0.128,0.873,0.106,1.497
2,0.072,0.130,0.174,0.942,0.112,1.619
3,0.068,0.130,0.140,1.059,0.169,1.754
4,0.069,0.108,0.093,1.042,0.105,1.606
5,0.066,0.115,0.100,0.952,0.104,1.525
6,0.069,0.108,0.083,0.888,0.104,1.439
7,0.066,0.110,0.094,0.918,0.123,1.501
0,0.062,0.067,0.020,0.060,0.063,0.461
0,0.063,0.067,0.021,0.066,0.109,0.512
1,0.054,0.067,0.020,0.060,0.053,0.443
2,0.062,0.067,0.022,0.087,0.082,0.508
3,0.064,0.067,0.022,0.090,0.083,0.497
4,0.064,0.067,0.023,0.078,0.154,0.575
5,0.062,0.067,0.022,0.073,0.169,0.564
6,0.063,0.067,0.024,0.090,0.059,0.494
7,0.062,0.067,0.022,0.073,0.126,0.519
8,0.064,0.067,0.022,0.075,0.313,0.727
9,0.062,0.069,0.023,0.078,0.069,0.473
10,0.063,0.067,0.022,0.092,0.167,0.600
0,0.063,0.066,0.023,0.068,0.059,0.470
1,0.049,0.068,0.023,0.071,0.155,0.551
2,0.064,0.077,0.014,0.001,0.000,0.345
3,0.063,0.071,0.058,0.296,0.051,0.726
4,0.063,0.072,0.052,0.393,0.103,0.871
0,0.063,0.069,0.091,0.498,0.669,1.582
1,0.048,0.069,0.089,0.549,0.083,1.025
2,0.062,0.070,0.086,0.560,0.070,1.035
3,0.064,0.069,0.089,0.491,0.723,1.607
4,0.064,0.070,0.068,0.471,0.146,1.006
5,0.078,0.074,0.044,0.364,1.094,1.827
6,0.065,0.075,0.046,0.299,0.540,1.214
7,0.062,0.075,0.051,0.277,0.667,1.307
0,0.063,0.074,0.029,0.053,0.478,0.884
1,0.049,0.074,0.024,0.053,0.980,1.370
2,0.062,0.073,0.021,0.049,1.127,1.522
0,0.064,0.072,0.046,0.357,1.631,2.360
1,0.048,0.071,0.054,0.355,0.494,1.208
2,0.062,0.071,0.054,0.340,0.079,0.794
3,0.063,0.072,0.064,0.305,0.653,1.345
4,0.062,0.072,0.052,0.344,0.574,1.292
0,0.063,0.070,0.068,0.388,0.083,0.862
1,0.048,0.070,0.095,0.600,0.271,1.271
2,0.063,0.070,0.062,0.461,1.036,1.885
3,0.062,0.069,0.061,0.515,0.090,0.968
4,0.063,0.069,0.070,0.350,0.383,1.121
5,0.062,0.069,0.086,0.449,1.023,1.859
6,0.063,0.071,0.059,0.424,1.039,1.842
7,0.062,0.070,0.059,0.307,0.308,0.975
0,0.083,0.183,0.044,0.191,0.142,0.830
1,0.080,0.180,0.043,0.210,0.067,0.768
2,0.074,0.184,0.043,0.218,0.067,0.759
3,0.084,0.181,0.043,0.218,0.072,0.786
4,0.072,0.179,0.048,0.197,0.128,0.796
5,0.083,0.181,0.043,0.156,0.126,0.777
6,0.074,0.182,0.043,0.155,0.055,0.681
7,0.083,0.182,0.043,0.131,0.126,0.754
8,0.081,0.181,0.038,0.126,0.052,0.654
9,0.083,0.186,0.039,0.111,0.081,0.688
10,0.083,0.181,0.040,0.114,0.094,0.687
11,0.085,0.184,0.043,0.116,0.123,0.740
12,0.086,0.184,0.038,0.108,0.107,0.699
13,0.084,0.186,0.039,0.094,0.085,0.676
14,0.080,0.181,0.040,0.098,0.061,0.636
15,0.084,0.186,0.039,0.085,0.045,0.626
16,0.084,0.187,0.040,0.076,0.049,0.611
17,0.084,0.187,0.039,0.066,0.046,0.613
18,0.084,0.190,0.039,0.059,0.058,0.606
19,0.085,0.207,0.040,0.050,0.047,0.616
20,0.084,0.188,0.035,0.038,0.040,0.561
21,0.084,0.189,0.035,0.037,0.043,0.576
22,0.089,0.197,0.035,0.027,0.039,0.574
23,0.084,0.190,0.035,0.023,0.040,0.560
24,0.084,0.198,0.036,0.023,0.038,0.554
25,0.085,0.191,0.035,0.026,0.041,0.567
26,0.085,0.195,0.035,0.019,0.043,0.555
27,0.085,0.193,0.035,0.016,0.046,0.562
28,0.085,0.194,0.035,0.012,0.037,0.577
29,0.091,0.192,0.035,0.009,0.041,0.555
30,0.086,0.195,0.036,0.009,0.035,0.537
31,0.086,0.207,0.036,0.007,0.036,0.564
32,0.085,0.196,0.031,0.003,0.051,0.542
33,0.085,0.192,0.030,0.000,0.000,0.495
34,0.082,0.183,0.055,0.296,0.065,0.856
35,0.083,0.187,0.087,0.297,0.912,1.754
36,0.073,0.185,0.082,0.459,0.098,1.067
37,0.094,0.185,0.056,0.226,0.080,0.839
38,0.072,0.182,0.076,0.282,0.716,1.499
39,0.082,0.183,0.071,0.238,0.340,1.100
40,0.073,0.182,0.071,0.242,0.068,0.807
41,0.083,0.192,0.046,0.174,0.085,0.771
42,0.073,0.183,0.051,0.167,0.069,0.713
43,0.082,0.184,0.061,0.206,0.499,1.219
44,0.073,0.183,0.061,0.197,0.593,1.277
45,0.083,0.184,0.056,0.176,0.543,1.246
0,0.084,0.190,0.077,0.265,0.376,1.179
1,0.082,0.187,0.067,0.257,0.639,1.423
2,0.074,0.187,0.082,0.384,0.089,0.987
3,0.083,0.188,0.067,0.264,0.289,1.078
4,0.073,0.187,0.077,0.286,1.008,1.802
5,0.084,0.187,0.081,0.270,0.821,1.632
6,0.076,0.188,0.077,0.393,0.068,0.973
7,0.084,0.188,0.078,0.448,0.139,1.124
8,0.084,0.186,0.072,0.265,0.561,1.342
9,0.100,0.191,0.055,0.345,0.120,0.998
10,0.085,0.191,0.055,0.334,0.106,0.947
11,0.084,0.190,0.055,0.273,0.058,0.855
12,0.076,0.193,0.050,0.255,0.140,0.888
13,0.084,0.192,0.056,0.231,0.086,0.837
14,0.085,0.194,0.050,0.183,0.061,0.748
15,0.085,0.194,0.050,0.172,0.085,0.774
16,0.085,0.194,0.050,0.156,0.150,0.809
17,0.086,0.196,0.045,0.119,0.065,0.698
18,0.085,0.196,0.045,0.102,0.065,0.676
19,0.086,0.195,0.044,0.083,0.070,0.667
20,0.086,0.195,0.045,0.081,0.054,0.636
21,0.085,0.196,0.044,0.061,0.074,0.647
22,0.085,0.201,0.045,0.050,0.048,0.604
23,0.086,0.197,0.045,0.040,0.050,0.607
24,0.087,0.197,0.039,0.038,0.043,0.582
25,0.085,0.196,0.045,0.165,0.056,0.734
26,0.085,0.197,0.051,0.131,0.069,0.709
27,0.083,0.172,0.070,0.285,0.070,0.884
28,0.073,0.183,0.041,0.136,0.161,0.764
29,0.081,0.180,0.047,0.134,0.091,0.720
30,0.073,0.182,0.041,0.137,0.062,0.667
31,0.083,0.182,0.047,0.140,0.052,0.692
32,0.073,0.182,0.042,0.146,0.052,0.667
33,0.100,0.181,0.041,0.123,0.055,0.687
34,0.072,0.183,0.042,0.130,0.117,0.715
0,0.075,0.139,0.035,0.146,0.048,0.634
1,0.071,0.135,0.034,0.145,0.049,0.622
0,0.075,0.137,0.035,0.140,0.050,0.626
1,0.071,0.135,0.035,0.104,0.046,0.580
2,0.074,0.138,0.031,0.082,0.045,0.556
3,0.068,0.137,0.031,0.076,0.071,0.570
4,0.068,0.136,0.031,0.053,0.046,0.505
5,0.075,0.137,0.031,0.068,0.062,0.559
6,0.068,0.138,0.031,0.064,0.100,0.574
7,0.074,0.137,0.031,0.053,0.052,0.534
8,0.068,0.139,0.031,0.045,0.048,0.501
9,0.075,0.153,0.029,0.040,0.045,0.532
10,0.068,0.140,0.027,0.025,0.049,0.481
0,0.078,0.144,0.028,0.025,0.057,0.532
1,0.071,0.140,0.028,0.024,0.063,0.514
2,0.076,0.143,0.027,0.019,0.050,0.505
3,0.068,0.141,0.027,0.020,0.044,0.490
4,0.075,0.141,0.027,0.019,0.049,0.499
5,0.088,0.119,0.036,0.089,0.052,0.572
6,0.074,0.144,0.031,0.077,0.084,0.597
7,0.068,0.138,0.031,0.043,0.056,0.522
8,0.074,0.139,0.031,0.036,0.056,0.535
9,0.068,0.140,0.027,0.028,0.048,0.514
10,0.075,0.140,0.027,0.023,0.045,0.497
11,0.068,0.141,0.027,0.014,0.046,0.483
12,0.074,0.140,0.027,0.010,0.033,0.471
13,0.068,0.142,0.027,0.007,0.034,0.486
14,0.074,0.141,0.027,0.003,0.033,0.466
15,0.068,0.143,0.023,0.001,0.000,0.422
0,0.075,0.141,0.027,0.001,0.032,0.469
1,0.071,0.140,0.023,0.000,0.000,0.423
2,0.075,0.137,0.031,0.053,0.042,0.525
3,0.068,0.139,0.032,0.035,0.043,0.505
4,0.074,0.138,0.031,0.039,0.040,0.512
5,0.079,0.130,0.052,0.224,2.298,2.980
6,0.072,0.140,0.031,0.044,0.041,0.499
7,0.074,0.136,0.031,0.038,0.042,0.509
0,0.088,0.140,0.031,0.045,0.049,0.543
1,0.071,0.139,0.031,0.036,0.046,0.511
2,0.070,0.139,0.027,0.020,0.044,0.490
3,0.075,0.143,0.027,0.016,0.043,0.492
4,0.069,0.141,0.027,0.008,0.034,0.453
5,0.075,0.143,0.027,0.006,0.059,0.498
6,0.068,0.141,0.028,0.004,0.039,0.451
7,0.076,0.141,0.027,0.004,0.041,0.485
8,0.068,0.140,0.027,0.012,0.049,0.466
9,0.075,0.141,0.027,0.008,0.039,0.481
10,0.068,0.141,0.027,0.005,0.031,0.447
11,0.074,0.141,0.027,0.003,0.000,0.433
12,0.068,0.140,0.027,0.003,0.035,0.446
13,0.074,0.140,0.027,0.003,0.000,0.432
14,0.070,0.146,0.027,0.003,0.032,0.478
0,0.075,0.142,0.023,0.002,0.030,0.480
1,0.071,0.144,0.027,0.004,0.036,0.470
2,0.068,0.141,0.027,0.001,0.000,0.434
0,0.075,0.141,0.027,0.004,0.000,0.435
1,0.071,0.140,0.027,0.008,0.000,0.434
2,0.074,0.140,0.027,0.008,0.000,0.437
3,0.068,0.139,0.039,0.101,0.000,0.534
0,0.076,0.143,0.028,0.005,0.040,0.480
1,0.080,0.144,0.027,0.005,0.039,0.484
2,0.075,0.141,0.023,0.002,0.038,0.468
3,0.069,0.141,0.023,0.001,0.033,0.457
4,0.089,0.143,0.023,0.001,0.031,0.489
0,0.075,0.142,0.027,0.007,0.048,0.485
1,0.069,0.142,0.024,0.003,0.047,0.473
2,0.075,0.142,0.023,0.003,0.042,0.473
3,0.068,0.141,0.027,0.008,0.050,0.489
4,0.075,0.142,0.027,0.003,0.037,0.475
5,0.069,0.141,0.027,0.003,0.082,0.520
6,0.075,0.141,0.027,0.004,0.047,0.482
0,0.075,0.139,0.035,0.094,0.119,0.650
1,0.071,0.141,0.033,0.075,0.061,0.570
2,0.076,0.140,0.031,0.087,0.768,1.291
3,0.068,0.139,0.031,0.065,0.145,0.636
4,0.075,0.141,0.032,0.054,0.164,0.652
5,0.068,0.140,0.031,0.045,0.149,0.620
6,0.074,0.140,0.031,0.038,0.078,0.548
7,0.068,0.140,0.027,0.030,0.053,0.506
8,0.075,0.143,0.027,0.022,0.071,0.526
9,0.070,0.143,0.027,0.018,0.045,0.491
10,0.076,0.143,0.027,0.013,0.042,0.492
0,0.079,0.143,0.053,0.122,0.110,0.711
1,0.072,0.139,0.031,0.099,0.220,0.747
2,0.075,0.137,0.031,0.103,0.077,0.610
3,0.068,0.142,0.031,0.077,0.178,0.683
4,0.076,0.141,0.031,0.072,0.297,0.809
5,0.068,0.138,0.031,0.070,0.228,0.722
6,0.077,0.138,0.031,0.071,0.052,0.569
7,0.071,0.140,0.031,0.056,0.284,0.777
8,0.075,0.149,0.034,0.076,0.275,0.798
9,0.068,0.144,0.033,0.065,0.335,0.832
10,0.076,0.139,0.031,0.046,0.337,0.815
