N,captr
168,1.043
169,1.044
170,1.038
171,1.070
172,1.043
173,1.048
174,1.064
175,1.044
176,1.044
177,1.048
178,1.071
179,1.053
180,1.044
181,1.057
0,1.861
1,1.261
2,1.203
0,1.842
1,1.273
2,1.238
3,1.208
4,1.216
5,1.221
6,1.210
7,1.211
8,1.210
9,1.215
10,1.210
11,1.202
12,1.202
13,1.237
14,1.207
15,1.212
16,1.225
17,1.197
18,1.198
19,1.196
20,1.214
21,1.201
22,1.194
23,1.191
24,1.222
25,1.210
26,1.202
27,1.213
28,1.191
29,1.241
30,1.213
31,1.221
32,1.214
33,1.236
34,1.205
35,1.210
36,1.236
37,1.208
38,1.200
39,1.207
40,1.226
41,1.209
42,1.204
43,1.211
44,1.231
45,1.207
46,1.196
47,1.221
48,1.199
49,1.198
50,1.198
51,1.225
52,1.210
53,1.208
54,1.196
55,1.227
56,1.193
57,1.224
58,1.209
59,1.207
60,1.212
61,1.203
62,1.215
63,1.200
64,1.208
65,1.212
66,1.194
67,1.196
68,1.215
69,1.193
70,1.194
71,1.193
72,1.221
73,1.202
74,1.197
75,1.205
76,1.224
77,1.191
78,1.198
79,1.196
80,1.202
81,1.201
82,1.213
83,1.187
84,1.187
85,1.224
86,1.195
87,1.219
88,1.224
89,1.190
90,1.194
91,1.219
92,1.192
93,1.188
94,1.197
95,1.220
96,1.189
97,1.186
0,2.173
1,1.554
2,1.511
3,1.514
0,2.075
1,1.494
0,2.060
1,1.478
0,2.060
1,1.469
0,2.129
1,1.488
0,1.831
1,1.244
0,1.810
1,1.243
2,1.177
3,1.200
4,1.206
5,1.207
6,1.202
7,1.200
0,1.851
1,1.244
2,1.270
3,1.279
4,1.220
5,1.197
6,1.194
7,1.279
8,1.255
9,1.249
10,1.256
11,1.227
12,1.192
13,1.255
14,1.210
15,1.255
16,1.223
17,1.195
18,1.214
19,1.184
20,1.257
21,1.192
22,1.209
23,1.194
24,1.195
25,1.284
26,1.216
27,1.259
28,1.269
29,1.282
30,1.204
31,1.266
32,1.257
33,1.273
34,1.256
35,1.240
36,1.258
37,1.199
38,1.255
39,1.265
40,1.260
41,1.186
42,1.213
43,1.196
44,1.262
45,1.263
46,1.204
47,1.275
48,1.277
49,1.282
50,1.204
51,1.199
52,1.218
53,1.240
54,1.220
55,1.249
56,1.234
57,1.248
58,1.237
59,1.268
60,1.194
61,1.254
62,1.279
63,1.206
64,1.194
65,1.196
66,1.279
67,1.204
68,1.196
69,1.246
70,1.221
71,1.255
72,1.268
73,1.185
74,1.220
0,1.884
1,1.270
2,1.217
3,1.210
4,1.239
5,1.215
6,1.217
7,1.222
8,1.230
9,1.218
10,1.245
11,1.238
12,1.216
13,1.214
14,1.245
15,1.237
0,1.896
1,1.297
2,1.204
3,1.227
4,1.223
5,1.225
6,1.218
0,1.818
1,1.266
2,1.275
3,1.264
4,1.201
5,1.282
6,1.191
7,1.300
8,1.262
9,1.250
10,1.288
11,1.245
12,1.237
13,1.226
14,1.217
15,1.291
16,1.196
17,1.258
18,1.200
19,1.193
20,1.204
21,1.210
22,1.276
23,1.263
24,1.240
25,1.236
26,1.260
27,1.183
28,1.228
29,1.191
30,1.248
31,1.278
32,1.198
33,1.253
34,1.261
35,1.243
36,1.200
37,1.280
38,1.198
0,1.843
1,1.255
2,1.181
3,1.191
4,1.206
5,1.187
6,1.182
7,1.187
8,1.208
9,1.189
10,1.179
11,1.186
12,1.204
13,1.172
14,1.184
15,1.191
16,1.179
0,1.911
1,1.263
2,1.185
3,1.166
4,1.187
5,1.169
6,1.161
7,1.188
8,1.161
9,1.180
10,1.175
11,1.190
12,1.177
13,1.218
14,1.199
15,1.206
0,1.801
1,1.170
0,1.782
1,1.219
2,1.332
3,1.320
4,1.274
5,1.256
6,1.253
7,1.265
8,1.250
9,1.244
10,1.266
11,1.261
12,1.277
13,1.244
0,1.893
0,1.868
0,1.883
1,1.296
2,1.210
3,1.204
4,1.233
5,1.216
6,1.222
7,1.222
0,1.875
0,1.893
1,1.271
2,1.259
3,1.243
4,1.222
5,1.242
6,1.239
7,1.219
8,1.237
9,1.229
10,1.215
0,1.893
1,1.289
2,1.188
3,1.268
4,1.226
5,1.229
0,1.890
1,1.270
2,1.235
3,1.227
4,1.214
5,1.251
6,1.208
7,1.208
0,2.057
1,1.466
2,1.428
0,1.878
1,1.256
2,1.209
3,1.223
4,1.225
0,1.870
1,1.275
2,1.211
3,1.211
4,1.234
5,1.215
6,1.218
7,1.245
0,1.905
1,1.276
2,1.224
3,1.209
4,1.257
5,1.271
6,1.208
7,1.223
8,1.285
9,1.229
10,1.203
11,1.213
12,1.205
13,1.198
14,1.240
15,1.198
16,1.200
17,1.198
18,1.224
19,1.199
20,1.197
21,1.201
22,1.212
23,1.196
24,1.193
25,1.215
26,1.206
27,1.196
28,1.215
29,1.207
30,1.197
31,1.213
32,1.197
33,1.192
34,1.248
35,1.213
36,1.216
37,1.228
38,1.219
39,1.214
40,1.225
41,1.258
42,1.215
43,1.217
44,1.223
45,1.215
46,1.217
0,1.871
1,1.274
2,1.221
3,1.230
4,1.210
5,1.223
6,1.225
7,1.222
8,1.237
9,1.259
10,1.238
11,1.225
12,1.227
13,1.247
14,1.225
15,1.233
16,1.217
17,1.240
18,1.229
19,1.220
20,1.217
21,1.234
22,1.216
23,1.214
24,1.237
25,1.228
26,1.215
27,1.276
28,1.277
29,1.249
30,1.273
31,1.262
32,1.261
33,1.268
34,1.248
35,1.258
0,1.897
1,1.272
0,1.895
1,1.271
2,1.210
3,1.222
4,1.210
5,1.237
6,1.226
7,1.210
8,1.207
9,1.225
10,1.201
0,1.752
1,1.123
2,1.082
3,1.076
4,1.079
5,1.093
6,1.072
7,1.067
8,1.095
9,1.075
10,1.074
11,1.070
12,1.088
13,1.077
14,1.070
15,1.076
0,1.743
1,1.102
2,1.069
3,1.051
4,1.059
5,1.062
6,1.073
7,1.055
0,1.746
1,1.126
2,1.067
3,1.094
4,1.069
5,1.071
6,1.075
7,1.085
8,1.065
9,1.076
10,1.084
11,1.066
12,1.065
13,1.084
14,1.072
0,1.721
1,1.120
2,1.080
0,1.720
1,1.129
2,1.070
3,1.060
0,1.923
1,1.338
2,1.260
3,1.266
4,1.275
0,1.896
1,1.310
2,1.275
3,1.286
4,1.247
5,1.252
6,1.236
0,1.864
1,1.292
2,1.214
3,1.216
4,1.233
5,1.227
6,1.221
7,1.251
8,1.215
9,1.222
10,1.214
0,2.193
1,1.528
2,1.442
3,1.445
4,1.467
5,1.438
6,1.441
7,1.461
8,1.441
9,1.443
10,1.445
11,1.458
12,1.450
0,2.150
1,1.491
2,1.459
3,1.437
4,1.433
5,1.432
6,1.452
7,1.430
8,1.436
9,1.472
10,1.445
11,1.439
12,1.443
13,1.453
14,1.440
0,2.126
1,1.515
2,1.475
3,1.438
4,1.437
5,1.457
6,1.457
7,1.449
8,1.449
9,1.455
10,1.446
11,1.449
12,1.453
13,1.445
14,1.461
15,1.444
16,1.468
17,1.446
18,1.453
19,1.454
20,1.445
21,1.449
22,1.464
23,1.441
24,1.448
25,1.450
26,1.460
27,1.434
28,1.447
29,1.439
30,1.473
31,1.440
32,1.444
33,1.459
0,2.020
0,1.920
1,1.308
2,1.252
3,1.251
4,1.247
5,1.268
6,1.242
7,1.245
8,1.270
9,1.247
10,1.247
11,1.255
12,1.272
13,1.247
0,1.883
1,1.261
2,1.279
3,1.268
4,1.212
5,1.246
0,1.922
1,1.315
2,1.247
3,1.248
4,1.276
5,1.249
6,1.248
7,1.250
8,1.272
9,1.245
10,1.248
11,1.265
12,1.243
13,1.247
14,1.248
15,1.262
16,1.246
17,1.246
18,1.242
19,1.261
20,1.242
21,1.245
22,1.240
23,1.266
24,1.245
25,1.269
26,1.248
27,1.242
28,1.243
29,1.289
30,1.244
31,1.244
32,1.269
33,1.255
34,1.245
35,1.251
0,1.852
1,1.321
2,1.248
3,1.293
4,1.244
5,1.250
6,1.250
