N,JValue,Diamt
5,0.725991,0.00728181
6,0.704846,0.0100018
7,0.711894,0.00909515
8,0.725991,0.00728181
9,0.711894,0.00909515
1,0.736564,0.00592181
2,0.715419,0.00864182
1,0.761233,0.00274846
2,0.747137,0.0045618
3,0.729515,0.00682848
1,0.761233,0.00274846
2,0.761233,0.00274846
1,0.722467,0.00773515
2,0.722467,0.00773515
3,0.743612,0.00501514
4,0.725991,0.00728181
5,0.725991,0.00728181
6,0.743612,0.00501514
7,0.722467,0.00773515
8,0.73304,0.00637514
9,0.761233,0.00274846
10,0.761233,0.00274846
1,0.718943,0.00818848
2,0.750661,0.00410847
3,0.722467,0.00773515
4,0.761233,0.00274846
5,0.757709,0.00320179
6,0.725991,0.00728181
7,0.785903,-0.000424889
8,0.782379,2.84468e-05
9,0.718943,0.00818848
10,0.743612,0.00501514
11,0.722467,0.00773515
1,0.729515,0.00682848
2,0.722467,0.00773515
3,0.676652,0.0136285
4,0.718943,0.00818848
5,0.725991,0.00728181
6,0.747137,0.0045618
7,0.743612,0.00501514
8,0.722467,0.00773515
9,0.761233,0.00274846
10,0.722467,0.00773515
11,0.743612,0.00501514
12,0.743612,0.00501514
13,0.761233,0.00274846
14,0.715419,0.00864182
1,0.725991,0.00728181
2,0.73304,0.00637514
3,0.747137,0.0045618
4,0.743612,0.00501514
5,0.718943,0.00818848
6,0.736564,0.00592181
7,0.722467,0.00773515
8,0.750661,0.00410847
9,0.722467,0.00773515
10,0.722467,0.00773515
11,0.743612,0.00501514
12,0.722467,0.00773515
13,0.743612,0.00501514
14,0.722467,0.00773515
15,0.630837,0.0195219
16,0.711894,0.00909515
17,0.743612,0.00501514
18,0.722467,0.00773515
19,0.725991,0.00728181
20,0.722467,0.00773515
21,0.747137,0.0045618
22,0.725991,0.00728181
23,0.722467,0.00773515
24,0.704846,0.0100018
25,0.754185,0.00365513
26,0.743612,0.00501514
27,0.725991,0.00728181
28,0.740088,0.00546847
29,0.750661,0.00410847
30,0.73304,0.00637514
31,0.690749,0.0118152
1,0.722467,0.00773515
2,0.722467,0.00773515
3,0.715419,0.00864182
4,0.715419,0.00864182
5,0.754185,0.00365513
6,0.754185,0.00365513
7,0.722467,0.00773515
8,0.687225,0.0122685
9,0.725991,0.00728181
10,0.648458,0.0172552
11,0.704846,0.0100018
12,0.743612,0.00501514
13,0.771806,0.00138845
1,0.722467,0.00773515
2,0.754185,0.00365513
3,0.725991,0.00728181
1,0.725991,0.00728181
2,0.722467,0.00773515
3,0.750661,0.00410847
4,0.718943,0.00818848
5,0.722467,0.00773515
6,0.743612,0.00501514
7,0.722467,0.00773515
8,0.740088,0.00546847
9,0.722467,0.00773515
10,0.761233,0.00274846
11,0.743612,0.00501514
12,0.722467,0.00773515
13,0.722467,0.00773515
14,0.725991,0.00728181
15,0.754185,0.00365513
16,0.740088,0.00546847
17,0.729515,0.00682848
18,0.722467,0.00773515
19,0.722467,0.00773515
20,0.725991,0.00728181
21,0.743612,0.00501514
22,0.750661,0.00410847
23,0.761233,0.00274846
24,0.722467,0.00773515
25,0.725991,0.00728181
26,0.747137,0.0045618
27,0.750661,0.00410847
28,0.750661,0.00410847
29,0.750661,0.00410847
1,0.747137,0.0045618
2,0.743612,0.00501514
3,0.725991,0.00728181
1,0.725991,0.00728181
2,0.725991,0.00728181
3,0.697797,0.0109085
4,0.694273,0.0113618
5,0.722467,0.00773515
