N,pregr,grasp,postg,place,cptrT,

1,3.747,1.725,1.342,4.743,2.662
2,3.812,1.566,1.150,4.706,3.255
3,2.977,1.562,1.149,4.444,2.651
4,2.645,1.597,1.246,4.328,2.696
5,3.175,1.593,1.215,4.357,2.691
6,4.406,1.662,1.177,4.869,3.135
7,6.870,1.630,1.147,4.995,3.248
1,3.720,1.511,1.170,5.416,2.663
2,3.219,1.513,1.190,4.552,2.699
3,3.685,1.632,1.155,4.369,3.121
4,5.255,1.500,1.148,4.264,2.664
5,2.981,1.532,1.217,5.718,3.118
6,3.943,1.501,1.149,4.325,2.667
7,3.802,1.501,1.151,5.539,3.018
8,6.045,1.602,1.244,4.680,2.679
9,4.417,1.530,1.119,4.327,2.677
10,4.537,1.576,1.208,5.994,4.018
11,4.606,1.613,1.202,4.563,2.693
12,3.902,1.511,1.150,4.456,2.696
13,3.964,1.450,1.171,5.189,2.660
14,4.143,1.620,1.287,5.576,2.695
15,4.758,1.658,1.215,4.232,2.674
16,3.964,1.570,1.279,3.985,2.685
17,4.222,1.513,1.170,4.424,2.709
18,3.269,1.511,1.212,4.456,2.663
19,3.891,1.503,1.149,5.799,2.695
20,4.750,1.566,1.210,4.136,2.664
21,3.013,1.683,1.293,5.256,3.176
1,4.402,1.510,1.171,4.232,2.696
2,3.190,1.535,1.212,4.649,2.708
3,5.086,1.468,1.150,4.361,2.696
4,4.752,1.633,1.277,5.192,3.304
5,3.809,1.630,1.276,5.202,2.673
6,3.602,1.531,1.180,4.338,2.674
7,4.335,1.594,1.215,4.136,2.707
8,4.395,1.512,1.139,4.936,2.634
9,4.462,1.501,1.181,5.287,2.678
10,3.955,1.636,1.207,6.760,2.918
1,4.078,1.630,1.159,5.733,2.693
2,3.663,1.500,1.181,4.530,2.680
3,3.405,1.522,1.159,4.996,3.107
4,4.072,1.567,1.277,5.096,2.712
5,4.800,1.820,1.405,5.027,3.026
6,4.155,1.503,1.151,5.160,2.730
7,4.292,1.923,1.496,4.520,2.689
8,4.531,1.630,1.276,4.232,2.663
9,3.972,1.479,1.081,4.585,3.139
1,6.273,1.629,1.279,5.288,3.111
2,4.881,1.628,1.277,4.531,2.683
3,4.512,1.510,1.139,5.224,2.696
1,3.794,1.506,1.119,4.456,2.690
2,4.105,1.485,1.138,5.106,2.690
3,2.919,1.730,1.145,5.448,2.722
4,4.220,1.666,1.306,4.231,2.684
5,3.154,1.553,1.190,5.320,3.472
6,4.752,1.466,1.180,4.904,2.695
7,2.956,1.496,1.119,4.551,2.855
8,5.512,1.533,1.149,7.368,5.609
9,3.845,1.582,1.170,4.616,3.143
10,5.814,1.668,1.179,5.735,3.846
11,4.259,1.510,1.139,4.454,2.699
12,3.254,1.510,1.181,4.651,2.666
13,3.198,1.542,1.171,4.646,2.758
14,3.846,1.798,1.305,5.671,3.170
15,5.098,1.608,1.264,4.296,2.635
16,4.260,1.631,1.265,4.231,2.710
17,4.003,1.453,1.169,4.359,2.694
18,4.964,1.563,1.190,4.337,2.692
19,4.513,1.563,1.148,5.032,3.048
20,5.559,1.523,1.180,4.775,2.663
21,4.012,1.523,1.148,5.318,3.750
22,4.584,1.631,1.244,4.454,2.701
23,3.920,1.656,1.215,4.683,3.244
24,5.074,1.511,1.148,4.453,2.757
25,4.981,1.665,1.148,5.129,2.696
26,5.109,1.619,1.255,4.611,3.044
27,4.699,1.576,1.144,5.800,3.912
28,4.614,1.512,1.171,4.657,2.711
29,4.626,1.533,1.118,4.523,2.903
30,3.363,1.590,1.289,4.645,2.661
31,3.654,1.501,1.181,4.892,2.683
32,4.447,1.542,1.150,5.162,2.671
33,4.750,1.502,1.180,4.456,2.705
34,4.683,1.598,1.277,4.581,2.680
1,4.235,1.595,1.151,6.088,3.034
2,2.826,1.621,1.277,4.450,2.673
3,4.521,1.766,1.273,5.192,3.111
4,3.903,1.582,1.266,4.678,2.699
5,4.806,1.568,1.181,5.927,4.392
6,4.687,1.412,1.180,4.646,2.676
7,3.429,1.563,1.149,4.231,2.682
8,5.362,1.553,1.158,4.444,2.683
9,3.271,1.467,1.148,4.264,2.695
10,3.947,1.501,1.210,4.423,2.663
1,3.326,1.665,1.277,6.631,3.046
2,4.187,1.665,1.276,5.000,2.695
3,4.823,1.543,1.168,4.678,2.661
4,3.762,1.475,1.180,4.360,2.695
5,4.291,1.537,1.210,4.361,2.696
6,2.972,1.586,1.257,4.392,2.708
7,3.646,1.474,1.181,4.741,2.701
8,3.086,1.541,1.171,5.543,3.985
9,3.561,1.673,1.304,5.295,3.198
10,3.672,1.631,1.296,4.743,2.682
11,3.947,1.504,1.215,4.807,3.157
12,4.563,1.568,1.245,4.552,2.664
13,4.676,1.811,1.404,4.583,2.695
14,2.749,1.511,1.139,4.263,2.721
15,3.840,1.569,1.276,5.890,3.265
16,4.522,1.562,1.159,4.420,2.679
17,3.436,1.544,1.111,4.777,3.114
18,3.452,1.474,1.181,4.209,2.682
19,3.977,1.665,1.215,5.448,2.663
20,3.863,1.579,1.170,4.539,2.686
21,4.355,1.619,1.277,5.095,2.663
22,4.947,1.566,1.277,4.507,2.681
23,3.390,1.685,1.164,5.897,2.970
24,3.774,1.470,1.179,4.807,2.695
1,3.530,1.404,1.085,4.872,2.471
2,4.635,1.437,1.022,4.264,2.465
3,5.064,1.460,1.064,3.890,2.449
4,3.714,1.384,1.075,4.103,2.477
5,5.068,1.441,1.053,4.325,2.467
6,4.795,1.437,1.118,4.103,2.464
7,4.768,1.314,0.986,3.912,2.471
8,3.784,1.338,1.053,4.227,2.830
9,2.867,1.441,1.114,4.359,2.471
10,4.503,1.599,1.276,4.424,2.455
11,2.896,1.344,0.987,4.456,2.472
12,3.058,1.354,1.072,4.006,2.469
